r,t,sign,s2x,s2y,n_heard,hear1000_frac,hear1500_frac,median_D,p90_D,mean_D,clearable_frac,median_psi,walk_from_s1
800,690.909090909,1,259.032461225,1024.82074332,70,0.928571428571,1,48.2744924419,88.9407708335,55.0190880944,0.214285714286,93.8546454622,1057.05031664
800,690.909090909,-1,1051.61080964,-107.098445155,70,0.928571428571,1,48.2744924419,88.9407708336,54.9839519162,0.214285714286,93.8546454622,1057.05031664
