test,case_code,n_cleared,mean_s,runtime_s
1,SZ4E-B3GU-6F8M-VX4P,10,699.461,1.166
2,6P77-F2QX-E6GE-FB7Y,16,418.219,1.199
3,D7EY-MTV2-7Q3S-U7XT,10,746.149,1.423
