group,cases,n_scouts,scout_geometry,second_station,step_m,n_actions,clear_ratio,n_true,n_cleared
n9r12,94W6-GKZD-JQQR-WHHE,21,N9 union R12 at 2000 m,"interior first (150,pm400) m",427.20018726587654,147,1.0,16,16
n9r12,U3UH-8T3Y-3TSU-Q2A5,21,N9 union R12 at 2000 m,"interior first (150,pm400) m",427.20018726587654,332,1.0,12,12
n9r12,U9B5-CN4M-ZBEN-Y3JH,21,N9 union R12 at 2000 m,"interior first (150,pm400) m",427.20018726587654,294,1.0,11,11
