point,r_m,t_m,covers_psi45,covers_band,median_D_m,hear1000,far_psi_deg
quantile,800,690.9090909090909,0,0,48.27449244190876,0.9285714285714286,44.62552311327717
psi45_policy,800,700,1,0,48.285930870294976,0.9285714285714286,45.00000000000001
psi_band,800,795,1,1,48.81833869664291,0.7857142857142857,45.0
centroid_heuristic,,,0,0,46.434952228553485,,
